,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
568,2024-01-15T11:29:28.620Z,37.3148333,-121.682,6.98,0.96,md,27.0,39.0,0.04128,0.08,nc,nc73989516,2024-01-16T18:49:10.594Z,"14 km ESE of Alum Rock, CA",earthquake,0.19,0.32,0.213,25.0,reviewed,nc,nc
881,2024-01-14T03:59:24.480Z,36.0933333,-120.9386667,7.1,0.97,md,33.0,42.0,0.07919,0.09,nc,nc73988926,2024-01-16T19:02:14.672Z,"8 km ESE of San Lucas, CA",earthquake,0.19,0.54,0.265,18.0,reviewed,nc,nc
1391,2024-01-11T23:20:08.770Z,38.8273315,-122.8119965,1.54,0.77,md,19.0,48.0,0.004208,0.02,nc,nc73988026,2024-01-11T23:57:12.140Z,"7 km NW of The Geysers, CA",earthquake,0.2,0.47,0.18,19.0,automatic,nc,nc
1407,2024-01-11T21:36:33.530Z,38.8320007,-122.8071671,1.15,0.85,md,12.0,47.0,0.008888,0.02,nc,nc73987971,2024-01-11T23:17:11.897Z,"7 km W of Cobb, CA",earthquake,0.27,0.92,0.31,13.0,automatic,nc,nc
1523,2024-01-11T08:44:23.590Z,38.8288333,-122.8195,1.64,0.52,md,22.0,48.0,0.009149,0.02,nc,nc73987786,2024-01-13T06:50:13.372Z,"8 km NW of The Geysers, CA",earthquake,0.17,0.37,0.21,21.0,reviewed,nc,nc
2023,2024-01-09T06:29:09.630Z,38.8343333,-122.8016667,2.26,0.48,md,23.0,41.0,0.009735,0.02,nc,nc73986901,2024-01-11T08:48:13.397Z,"7 km WNW of Cobb, CA",earthquake,0.22,0.35,0.097,21.0,reviewed,nc,nc
2264,2024-01-08T09:13:09.800Z,38.8138351,-122.8065033,1.53,0.93,md,16.0,42.0,0.009945,0.03,nc,nc73986431,2024-01-08T11:45:13.540Z,"6 km NW of The Geysers, CA",earthquake,0.25,0.59,0.28,16.0,automatic,nc,nc
2364,2024-01-08T00:03:22.010Z,38.832,-122.8005,2.12,0.39,md,15.0,47.0,0.01019,0.02,nc,nc73986266,2024-01-09T19:52:14.122Z,"7 km W of Cobb, CA",earthquake,0.27,0.37,0.524,15.0,reviewed,nc,nc
2443,2024-01-07T13:35:48.480Z,37.2391667,-121.6231667,4.74,0.9,md,18.0,42.0,0.0445,0.07,nc,nc73986081,2024-01-07T19:46:13.672Z,"12 km NNE of Morgan Hill, CA",earthquake,0.19,0.51,0.379,21.0,reviewed,nc,nc
2611,2024-01-06T21:15:39.440Z,38.8273333,-122.8111667,1.51,0.39,md,16.0,43.0,0.004024,0.02,nc,nc73985851,2024-01-11T00:10:12.149Z,"7 km NW of The Geysers, CA",earthquake,0.23,0.44,0.226,16.0,reviewed,nc,nc
2830,2024-01-05T23:53:13.080Z,38.8265,-122.7875,1.8,0.23,md,17.0,41.0,0.0121,0.02,nc,nc73985601,2024-01-09T00:33:11.231Z,"6 km W of Cobb, CA",earthquake,0.2,0.47,0.356,17.0,reviewed,nc,nc
3082,2024-01-05T01:19:42.560Z,38.8321667,-122.811,1.92,0.5,md,28.0,43.0,0.008789,0.02,nc,nc73985201,2024-01-09T23:58:11.638Z,"8 km W of Cobb, CA",earthquake,0.15,0.29,0.123,28.0,reviewed,nc,nc
3173,2024-01-04T16:17:40.260Z,38.8286667,-122.7996667,2.16,0.4,md,15.0,46.0,0.009685,0.02,nc,nc73985091,2024-01-09T22:49:10.285Z,"7 km W of Cobb, CA",earthquake,0.24,0.8,0.274,15.0,reviewed,nc,nc
3496,2024-01-03T13:54:13.840Z,38.8204994,-122.8059998,2.57,0.96,md,18.0,45.0,0.0043,0.01,nc,nc73984771,2024-01-03T14:27:12.917Z,"6 km NW of The Geysers, CA",earthquake,0.23,0.88,0.22,19.0,automatic,nc,nc
4092,2024-01-01T12:02:11.730Z,38.8148333,-122.815,3.2,0.47,md,27.0,49.0,0.009375,0.02,nc,nc73983756,2024-01-09T00:01:10.893Z,"7 km NW of The Geysers, CA",earthquake,0.18,0.29,0.094,25.0,reviewed,nc,nc
4099,2024-01-01T11:27:58.430Z,38.814167,-122.7993317,3.25,0.76,md,19.0,40.0,0.006944,0.02,nc,nc73983741,2024-01-01T13:25:10.201Z,"6 km NW of The Geysers, CA",earthquake,0.27,0.74,0.06,19.0,automatic,nc,nc
4199,2024-01-01T04:38:39.720Z,38.8255,-122.7978333,2.08,0.44,md,24.0,41.0,0.00979,0.03,nc,nc73983631,2024-01-01T21:14:14.007Z,"6 km NW of The Geysers, CA",earthquake,0.18,0.23,0.177,22.0,reviewed,nc,nc
4262,2023-12-31T23:18:04.720Z,38.8051667,-122.7986667,2.9,0.38,md,18.0,43.0,0.003838,0.02,nc,nc73983551,2024-01-02T19:25:11.098Z,"5 km NW of The Geysers, CA",earthquake,0.22,0.31,0.422,18.0,reviewed,nc,nc
4428,2023-12-31T09:42:54.810Z,38.8308334,-122.8133316,1.76,0.76,md,16.0,47.0,0.007851,0.01,nc,nc73983341,2023-12-31T10:56:10.762Z,"8 km NW of The Geysers, CA",earthquake,0.26,0.47,0.2,17.0,automatic,nc,nc
4533,2023-12-31T03:24:32.320Z,38.8221667,-122.7875,1.47,0.5,md,22.0,44.0,0.01037,0.03,nc,nc73983241,2024-01-08T19:29:12.277Z,"6 km W of Cobb, CA",earthquake,0.2,0.27,0.268,22.0,reviewed,nc,nc
4538,2023-12-31T03:08:19.780Z,38.8328333,-122.809,2.44,0.48,md,26.0,47.0,0.009462,0.03,nc,nc73983236,2024-01-01T20:23:10.709Z,"8 km W of Cobb, CA",earthquake,0.16,0.26,0.143,24.0,reviewed,nc,nc
5169,2023-12-29T13:10:03.690Z,38.8291667,-122.8141667,2.21,0.62,md,20.0,45.0,0.006591,0.02,nc,nc73982656,2024-01-05T16:35:12.139Z,"8 km NW of The Geysers, CA",earthquake,0.21,0.41,0.238,18.0,reviewed,nc,nc
